Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
76.3,541819761,17,31871750.6,12912.0,4350,540947586,131185894.5,cudaMemcpy
20.9,148273420,17,8721965.9,6285.0,3536,147617410,35792744.5,cudaMalloc
1.5,10323501,3,3441167.0,342058.0,65392,9916051,5609120.1,cudaLaunchKernel
0.8,5691932,1,5691932.0,5691932.0,5691932,5691932,0.0,cudaDeviceSynchronize
0.5,3668742,17,215808.4,6498.0,4061,2022248,583593.0,cudaFree
0.0,106368,7,15195.4,6040.0,3381,43463,17397.8,cudaMemset
0.0,70916,4,17729.0,16692.5,5958,31573,10712.8,cudaEventRecord
0.0,23605,4,5901.3,2931.0,1176,16567,7278.2,cudaEventCreate
0.0,7089,4,1772.3,1068.0,953,4000,1487.0,cudaEventDestroy
0.0,5988,1,5988.0,5988.0,5988,5988,0.0,cudaEventSynchronize
0.0,4730,1,4730.0,4730.0,4730,4730,0.0,cuModuleGetLoadingMode
