Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.5,239397947,17,14082232.2,10584.0,4471,239106387,57987401.1,cudaMemcpy
35.5,136029725,17,8001748.5,5486.0,2209,135546267,32867589.7,cudaMalloc
1.4,5311212,3,1770404.0,238791.0,53564,5018857,2814766.9,cudaLaunchKernel
0.3,1322894,17,77817.3,4362.0,2628,739908,201128.5,cudaFree
0.3,1012834,1,1012834.0,1012834.0,1012834,1012834,0.0,cudaDeviceSynchronize
0.0,82117,7,11731.0,4620.0,2370,34057,14062.7,cudaMemset
0.0,49788,4,12447.0,10221.0,4194,25152,9879.9,cudaEventRecord
0.0,16108,4,4027.0,729.5,612,14037,6673.7,cudaEventCreate
0.0,4926,4,1231.5,789.0,537,2811,1069.3,cudaEventDestroy
0.0,4901,1,4901.0,4901.0,4901,4901,0.0,cudaEventSynchronize
0.0,3948,1,3948.0,3948.0,3948,3948,0.0,cuModuleGetLoadingMode
