Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
58.7,253694179,17,14923187.0,10781.0,4840,252532041,61230769.2,cudaMemcpy
39.2,169414252,17,9965544.2,6812.0,2142,168914954,40960418.5,cudaMalloc
1.2,5350644,3,1783548.0,268489.0,55687,5026468,2810465.9,cudaLaunchKernel
0.4,1659451,4,414862.8,21582.5,4790,1611496,797842.9,cudaEventRecord
0.3,1464623,17,86154.3,5922.0,2981,826551,222701.1,cudaFree
0.1,521605,1,521605.0,521605.0,521605,521605,0.0,cudaDeviceSynchronize
0.0,106000,7,15142.9,5656.0,2619,50084,19355.8,cudaMemset
0.0,17069,4,4267.3,667.0,566,15169,7268.1,cudaEventCreate
0.0,5217,4,1304.3,637.5,577,3365,1374.2,cudaEventDestroy
0.0,4983,1,4983.0,4983.0,4983,4983,0.0,cudaEventSynchronize
0.0,4281,1,4281.0,4281.0,4281,4281,0.0,cuModuleGetLoadingMode
