Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
75.6,487219543,17,28659973.1,18800.0,4441,486256076,117919879.1,cudaMemcpy
21.5,138557362,17,8150433.1,4998.0,2340,138003672,33462556.5,cudaMalloc
1.6,10202580,3,3400860.0,266644.0,68157,9867779,5601395.4,cudaLaunchKernel
0.9,5934453,1,5934453.0,5934453.0,5934453,5934453,0.0,cudaDeviceSynchronize
0.4,2263436,17,133143.3,6524.0,3283,1440685,371756.1,cudaFree
0.0,84728,7,12104.0,5062.0,2539,34729,14111.9,cudaMemset
0.0,62496,4,15624.0,15215.0,5767,26299,8419.7,cudaEventRecord
0.0,17685,4,4421.3,673.5,557,15781,7573.5,cudaEventCreate
0.0,5994,4,1498.5,739.0,535,3981,1658.2,cudaEventDestroy
0.0,5671,1,5671.0,5671.0,5671,5671,0.0,cudaEventSynchronize
0.0,4729,1,4729.0,4729.0,4729,4729,0.0,cuModuleGetLoadingMode
