dataset,thread_per_blocco,durata_kernel_us,dispersione_%,DRAM_%_del_picco,DRAM_GB_al_s,SM_%_del_picco,DRAM_lette_MB,DRAM_scritte_MB,DRAM_totale_MB,sp_init_MB,sp_init_%_del_totale,sp_init_%_delle_scritture,occupancy_raggiunta_%,registri_per_thread,blocchi_residenti_per_SM,thread_attivi_per_warp_su_32,L1_hit_%,L2_hit_%
ebola_exact_smoke,64,556.6,3.8,70.6,224.1,2.83,57.0,69.0,126.1,56.3,44.7,81.6,23.8,239,4,17.3,69.5,67.6
ebola_exact_smoke,128,519.6,1.0,73.1,228.0,2.98,51.0,67.1,118.1,56.3,47.7,83.9,24.9,239,2,19.1,69.7,67.4
ebola_exact_smoke,256,622.9,1.5,67.3,212.0,2.86,64.3,67.8,132.1,56.3,42.6,83.1,24.8,239,1,21.6,69.1,65.6
ebola_error_smoke,64,947.4,1.2,41.2,131.4,4.8,52.8,72.0,124.8,56.3,45.1,78.2,21.1,239,4,13.7,72.5,75.0
ebola_error_smoke,128,1010.0,3.3,37.6,118.6,5.41,49.4,70.7,120.0,56.3,46.9,79.7,23.3,239,2,16.3,72.9,75.3
ebola_error_smoke,256,1480.0,0.0,29.4,93.9,4.9,67.3,72.0,139.3,56.3,40.4,78.2,25.0,239,1,19.0,73.1,72.7
c4_exact,64,6250.0,0.3,71.6,229.6,2.84,637.1,798.2,1435.3,640.3,44.6,80.2,25.3,239,4,26.9,68.3,65.9
c4_exact,128,5600.0,0.7,74.0,236.5,3.01,545.3,775.3,1320.6,640.3,48.5,82.6,24.8,239,2,27.1,68.6,67.3
c4_exact,256,5690.0,0.2,81.2,258.7,2.94,728.0,742.7,1470.7,640.3,43.5,86.2,25.1,239,1,27.4,69.3,65.1
c4_err,64,6290.0,0.0,67.5,214.7,2.97,542.7,802.9,1345.6,640.3,47.6,79.7,23.1,239,4,19.1,68.9,70.5
c4_err,128,5820.0,1.7,71.7,228.3,3.06,550.6,776.8,1327.4,640.3,48.2,82.4,25.3,239,2,20.0,69.3,69.1
c4_err,256,5960.0,0.8,77.5,247.2,3.7,729.0,745.9,1475.0,640.3,43.4,85.8,25.0,239,1,21.2,70.1,66.4
