dataset,thread_per_blocco,processo_intero_s,dispersione_%,copia_host_to_device_ms,kernel_ms,copia_device_to_host_ms,totale_GPU_ms,kernel_%_del_tempo_GPU,D2H_%_del_tempo_GPU,ripetizioni
ebola_exact_smoke,64,1.231,3.3,4.93,0.9,238.1,243.9,0.37,97.6,5
ebola_exact_smoke,128,1.232,16.6,4.92,0.84,238.8,244.6,0.35,97.6,5
ebola_exact_smoke,256,1.225,0.7,4.93,0.93,240.2,246.1,0.38,97.6,5
ebola_error_smoke,64,1.233,8.0,4.93,1.31,241.7,248.0,0.53,97.5,5
ebola_error_smoke,128,1.25,17.9,4.93,1.31,241.2,247.5,0.53,97.5,5
ebola_error_smoke,256,1.233,15.6,4.92,1.8,240.2,246.9,0.73,97.3,5
c4_exact,64,2.232,8.4,9.78,6.64,483.3,499.7,1.33,96.7,5
c4_exact,128,2.221,13.5,9.77,6.02,475.8,491.6,1.22,96.8,5
c4_exact,256,2.226,14.3,9.77,6.08,481.4,497.3,1.22,96.8,5
c4_err,64,2.238,10.2,9.77,6.67,484.3,500.7,1.33,96.7,5
c4_err,128,2.248,14.6,9.77,6.27,483.7,499.8,1.25,96.8,5
c4_err,256,2.237,16.5,9.76,6.3,478.1,494.1,1.27,96.8,5
