metrica,configurazione,storico_handoff,misurato_clock_base,misurato_clock_1590MHz
DRAM % del picco,c4_exact@64,70.96,70.6,71.6
DRAM % del picco,c4_exact@256,74.39,73.8,81.2
DRAM % del picco,c4_err@64,56.91,59.6,67.5
DRAM % del picco,c4_err@256,46.95,48.0,77.5
SM % del picco,c4_exact@64,6.99,6.98,2.84
SM % del picco,c4_exact@256,6.5,6.51,2.94
SM % del picco,c4_err@64,6.38,6.65,2.97
SM % del picco,c4_err@256,4.88,5.54,3.7
stall pipe load/store,c4_exact@64,91.9,90.4,234.9
stall pipe load/store,c4_exact@256,100.1,98.1,228.0
stall pipe load/store,c4_err@64,31.5,29.8,85.0
stall pipe load/store,c4_err@256,26.6,23.4,35.1
thread attivi per warp,c4_exact@64,27.01,26.86,26.86
thread attivi per warp,c4_exact@256,27.56,27.44,27.44
