dataset,threads,duration_us,duration_spread_pct,dram_GBs,dram_pct_of_peak,peak_GBs_measured,sm_pct_of_peak,dram_read_MB,dram_write_MB,dram_total_MB,sp_init_payload_MB,int_thread_inst,fp32_thread_inst,fp64_thread_inst,int_ops_per_DRAM_byte,Ginst_int_per_s
ebola_exact_smoke,64,556.64,3.8,224.14,70.56,317.7,2.83,57.0,69.0,126.1,56.3,14978114,59594,0,0.1188,26.91
ebola_exact_smoke,128,519.62,1.0,228.0,73.11,317.7,2.98,51.0,67.1,118.1,56.3,17513474,110154,0,0.1483,33.7
ebola_exact_smoke,256,622.85,1.49,211.99,67.35,317.7,2.86,64.3,67.8,132.1,56.3,22583938,211274,0,0.171,36.26
ebola_error_smoke,64,947.39,1.15,131.41,41.17,317.7,4.8,52.8,72.0,124.8,56.3,36891207,285825,0,0.2957,38.94
ebola_error_smoke,128,1010.0,3.26,118.59,37.62,317.7,5.41,49.4,70.7,120.0,56.3,56264859,538369,0,0.4688,55.71
ebola_error_smoke,256,1480.0,0.0,93.86,29.43,317.7,4.9,67.3,72.0,139.3,56.3,94881303,1043457,0,0.6811,64.11
c4_exact,64,6250.0,0.32,229.62,71.57,317.7,2.84,637.1,798.2,1435.3,640.3,140305530,135329,0,0.0978,22.45
c4_exact,128,5600.0,0.71,236.5,73.98,317.7,3.01,545.3,775.3,1320.6,640.3,145635514,234273,0,0.1103,26.01
c4_exact,256,5690.0,0.18,258.67,81.16,317.7,2.94,728.0,742.7,1470.7,640.3,155643706,432161,0,0.1058,27.35
c4_err,64,6290.0,0.0,214.7,67.52,317.7,2.97,542.7,802.9,1345.6,640.3,183738691,573634,0,0.1365,29.21
c4_err,128,5820.0,1.72,228.26,71.66,317.7,3.06,550.6,776.8,1327.4,640.3,221671853,1063234,0,0.167,38.09
c4_err,256,5960.0,0.84,247.24,77.49,317.7,3.7,729.0,745.9,1475.0,640.3,296435471,2042434,0,0.201,49.74
